City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Hasaki,JP,91.29,overcast clouds,35.7333,140.8333,Kamisu
13,Rikitea,PF,74.52,overcast clouds,-23.1203,-134.9692,Rikitea
15,Victoria,HK,92.03,overcast clouds,22.2855,114.1577,Hong Kong
17,Bethel,US,74.77,overcast clouds,41.3712,-73.414,Danbury
18,Touros,BR,74.3,few clouds,-5.1989,-35.4608,Touros
19,Kapaa,US,82.72,light rain,22.0752,-159.319,Kapaʻa
21,Horta,PT,71.2,broken clouds,38.5333,-28.6333,Horta
22,Biak,ID,83.37,broken clouds,-0.9131,122.8766,CV. Karya Alam Perkasa
23,Kahului,US,81.66,scattered clouds,20.8947,-156.47,Kahului
24,Kloulklubed,PW,81.1,overcast clouds,7.0419,134.2556,Klouklubed
28,Tual,ID,80.98,overcast clouds,-5.6667,132.75,Tual
32,Brewster,US,75.0,overcast clouds,41.3973,-73.6171,Carmel Hamlet
34,Ponta Do Sol,PT,72.23,clear sky,32.6667,-17.1,Ribeira Brava
36,Samarai,PG,79.18,moderate rain,-10.6167,150.6667,Sidudu
37,Gat,IL,77.68,clear sky,31.61,34.7642,Kiryat Gat
39,Arraial Do Cabo,BR,70.09,clear sky,-22.9661,-42.0278,Arraial do Cabo
41,Airai,TL,76.75,broken clouds,-8.9266,125.4092,Atsabe
44,Awjilah,LY,78.48,clear sky,29.1081,21.2869,Awjilah
47,Shenjiamen,CN,80.49,overcast clouds,29.9576,122.298,Zhoushan
49,Lorengau,PG,84.99,clear sky,-2.0226,147.2712,Lorengau
52,Imeni Poliny Osipenko,RU,79.86,overcast clouds,52.4201,136.4853,Imeni Poliny Osipenko
53,Sola,VU,81.27,overcast clouds,-13.8833,167.55,Sola
54,Tura,IN,82.74,overcast clouds,25.5198,90.2201,Tura
55,Westport,US,78.98,scattered clouds,41.1415,-73.3579,Norwalk
59,Honiara,SB,83.57,overcast clouds,-9.4333,159.95,Honiara
61,Pemberton,CA,75.06,clear sky,50.3164,-122.8027,Pemberton
62,Atuona,PF,77.95,clear sky,-9.8,-139.0333,Atuona
63,Puerto Ayora,EC,71.24,few clouds,-0.7393,-90.3518,Puerto Ayora
64,Bonthe,SL,76.51,overcast clouds,7.5264,-12.505,Bonthe
68,Talavera,PH,86.54,heavy intensity rain,15.6167,120.9333,Talavera
69,Bartica,GY,77.32,broken clouds,6.4,-58.6167,Bartica
71,Ishigaki,JP,87.93,broken clouds,24.3448,124.1572,Ishigaki
73,Manokwari,ID,84.42,overcast clouds,-0.8667,134.0833,Manokwari
78,Dayong,CN,92.88,light rain,25.0209,118.2898,Quanzhou
80,Cabo San Lucas,MX,87.1,clear sky,22.8909,-109.9124,Cabo San Lucas
82,Zhaodong,CN,82.42,overcast clouds,46.0833,125.9833,Suihua
83,Bardiyah,LY,77.09,clear sky,31.7561,25.0865,Bardiyah
84,Dawei,MM,83.07,light rain,14.0833,98.2,Dawei
86,Poya,NC,74.25,clear sky,-21.35,165.15,Poya
89,Fortuna,US,74.48,scattered clouds,40.5982,-124.1573,Fortuna
90,Itarema,BR,77.31,few clouds,-2.9248,-39.9167,Itarema
92,Butaritari,KI,81.66,overcast clouds,3.0707,172.7902,Ukiangang
93,Jiayuguan,CN,86.72,scattered clouds,39.8167,98.3,Jiayuguan City
94,Poum,NC,72.55,clear sky,-20.2333,164.0167,Poum
96,Vostok,RU,87.76,broken clouds,46.4856,135.8833,Vostok
97,Tymovskoye,RU,90.34,scattered clouds,50.8456,142.655,Tymovskoye
98,Belmonte,BR,70.3,clear sky,-15.8631,-38.8828,Belmonte
