City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Dikson,RU,73.5069,80.5464,37.31,99,100,12.08,overcast clouds,2021-07-28 03:28:56
1,Gornopravdinsk,RU,60.05,69.9,57.13,54,10,5.35,clear sky,2021-07-28 03:30:57
2,Cape Town,ZA,-33.9258,18.4232,50.41,86,20,2.3,few clouds,2021-07-28 03:27:50
3,Hasaki,JP,35.7333,140.8333,91.29,79,100,21.63,overcast clouds,2021-07-28 03:28:53
4,Bredasdorp,ZA,-34.5322,20.0403,52.92,66,100,8.05,overcast clouds,2021-07-28 03:30:58
5,Lebu,CL,-37.6167,-73.65,45.07,81,0,19.69,clear sky,2021-07-28 03:28:48
6,Tuktoyaktuk,CA,69.4541,-133.0374,51.8,71,75,9.22,light rain,2021-07-28 03:30:59
7,Punta Arenas,CL,-53.15,-70.9167,44.71,81,75,18.41,broken clouds,2021-07-28 03:30:40
8,Vetluga,RU,57.8557,45.781,58.93,58,21,3.62,few clouds,2021-07-28 03:31:00
9,Ushuaia,AR,-54.8,-68.3,38.86,93,75,3.44,light rain,2021-07-28 03:26:53
10,Luebo,CD,-5.35,21.4167,61.14,35,6,2.42,clear sky,2021-07-28 03:31:01
11,Tuatapere,NZ,-46.1333,167.6833,52.83,74,65,1.79,broken clouds,2021-07-28 03:31:01
12,Bagan,RU,54.1001,77.6646,63.77,53,64,8.3,broken clouds,2021-07-28 03:31:02
13,Rikitea,PF,-23.1203,-134.9692,74.52,79,100,14.63,overcast clouds,2021-07-28 03:31:02
14,Novyye Lyady,RU,58.0536,56.6039,51.04,89,100,5.28,overcast clouds,2021-07-28 03:31:02
15,Victoria,HK,22.2855,114.1577,92.03,79,99,7.0,overcast clouds,2021-07-28 03:27:51
16,Albany,US,42.6001,-73.9662,67.39,93,100,3.0,overcast clouds,2021-07-28 03:29:19
17,Bethel,US,41.3712,-73.414,74.77,87,90,1.01,overcast clouds,2021-07-28 03:31:03
18,Touros,BR,-5.1989,-35.4608,74.3,89,12,11.18,few clouds,2021-07-28 03:30:36
19,Kapaa,US,22.0752,-159.319,82.72,70,40,4.0,light rain,2021-07-28 03:31:04
20,Visby,SE,57.6409,18.296,63.77,100,90,3.44,overcast clouds,2021-07-28 03:31:04
21,Horta,PT,38.5333,-28.6333,71.2,85,55,7.9,broken clouds,2021-07-28 03:31:04
22,Biak,ID,-0.9131,122.8766,83.37,68,79,5.93,broken clouds,2021-07-28 03:31:05
23,Kahului,US,20.8947,-156.47,81.66,79,40,21.85,scattered clouds,2021-07-28 03:31:05
24,Kloulklubed,PW,7.0419,134.2556,81.1,77,89,12.1,overcast clouds,2021-07-28 03:31:05
25,Jamestown,US,42.097,-79.2353,69.39,86,1,3.0,clear sky,2021-07-28 03:26:47
26,Sosnovo-Ozerskoye,RU,52.5249,111.5418,67.66,66,72,10.69,light rain,2021-07-28 03:31:06
27,Tara,RU,56.8944,74.371,64.13,67,90,7.49,overcast clouds,2021-07-28 03:31:06
28,Tual,ID,-5.6667,132.75,80.98,82,99,12.8,overcast clouds,2021-07-28 03:31:07
29,Saskylakh,RU,71.9167,114.0833,68.65,35,14,19.48,few clouds,2021-07-28 03:31:07
30,Bluff,NZ,-46.6,168.3333,52.81,72,36,3.06,scattered clouds,2021-07-28 03:31:08
31,New Norfolk,AU,-42.7826,147.0587,55.92,58,47,5.99,light rain,2021-07-28 03:31:08
32,Brewster,US,41.3973,-73.6171,75.0,89,90,1.01,overcast clouds,2021-07-28 03:31:08
33,Vestmannaeyjar,IS,63.4427,-20.2734,53.13,84,33,2.91,scattered clouds,2021-07-28 03:29:40
34,Ponta Do Sol,PT,32.6667,-17.1,72.23,80,4,4.0,clear sky,2021-07-28 03:31:09
35,Hobart,AU,-42.8794,147.3294,56.26,57,75,4.0,light rain,2021-07-28 03:28:44
36,Samarai,PG,-10.6167,150.6667,79.18,86,89,13.02,moderate rain,2021-07-28 03:31:09
37,Gat,IL,31.61,34.7642,77.68,100,0,3.02,clear sky,2021-07-28 03:31:10
38,Henties Bay,NA,-22.116,14.2845,54.86,80,0,6.24,clear sky,2021-07-28 03:31:10
39,Arraial Do Cabo,BR,-22.9661,-42.0278,70.09,82,0,17.38,clear sky,2021-07-28 03:30:09
40,Port Elizabeth,ZA,-33.918,25.5701,57.49,88,0,17.27,clear sky,2021-07-28 03:29:24
41,Airai,TL,-8.9266,125.4092,76.75,36,74,5.35,broken clouds,2021-07-28 03:31:11
42,Sao Joaquim,BR,-28.2939,-49.9317,25.95,85,68,7.58,broken clouds,2021-07-28 03:31:11
43,Ostrovnoy,RU,68.0531,39.5131,45.95,95,100,5.91,overcast clouds,2021-07-28 03:31:11
44,Awjilah,LY,29.1081,21.2869,78.48,48,0,5.84,clear sky,2021-07-28 03:31:12
45,Sitka,US,57.0531,-135.33,60.69,77,75,4.61,broken clouds,2021-07-28 03:31:12
46,Thompson,CA,55.7435,-97.8558,60.96,77,75,0.0,broken clouds,2021-07-28 03:31:13
47,Shenjiamen,CN,29.9576,122.298,80.49,88,98,16.44,overcast clouds,2021-07-28 03:30:26
48,Kaitangata,NZ,-46.2817,169.8464,52.93,61,62,1.07,broken clouds,2021-07-28 03:31:13
49,Lorengau,PG,-2.0226,147.2712,84.99,71,8,6.06,clear sky,2021-07-28 03:31:13
50,Chuy,UY,-33.6971,-53.4616,43.77,78,60,15.05,broken clouds,2021-07-28 03:31:14
51,Constitucion,CL,-35.3333,-72.4167,44.22,79,0,6.4,clear sky,2021-07-28 03:31:14
52,Imeni Poliny Osipenko,RU,52.4201,136.4853,79.86,67,100,5.03,overcast clouds,2021-07-28 03:31:14
53,Sola,VU,-13.8833,167.55,81.27,78,90,6.91,overcast clouds,2021-07-28 03:31:15
54,Tura,IN,25.5198,90.2201,82.74,80,97,5.66,overcast clouds,2021-07-28 03:31:15
55,Westport,US,41.1415,-73.3579,78.98,79,40,1.99,scattered clouds,2021-07-28 03:31:16
56,Yurga,RU,55.7231,84.8861,64.99,56,41,3.02,scattered clouds,2021-07-28 03:31:16
57,Busselton,AU,-33.65,115.3333,60.04,69,54,19.71,broken clouds,2021-07-28 03:31:16
58,Mirandela,PT,41.4874,-7.187,60.24,78,0,4.38,clear sky,2021-07-28 03:31:17
59,Honiara,SB,-9.4333,159.95,83.57,75,96,8.79,overcast clouds,2021-07-28 03:31:17
60,Saint-Philippe,RE,-21.3585,55.7679,65.79,88,89,12.86,light rain,2021-07-28 03:29:31
61,Pemberton,CA,50.3164,-122.8027,75.06,55,4,5.08,clear sky,2021-07-28 03:31:17
62,Atuona,PF,-9.8,-139.0333,77.95,70,4,18.03,clear sky,2021-07-28 03:31:18
63,Puerto Ayora,EC,-0.7393,-90.3518,71.24,85,19,9.4,few clouds,2021-07-28 03:31:18
64,Bonthe,SL,7.5264,-12.505,76.51,85,100,9.35,overcast clouds,2021-07-28 03:31:18
